c_inst_name_code,c_inst_code,c_inst_type_code,c_inst_begin_year,c_by_nianhao_code,c_by_nianhao_year,c_by_year_range,c_inst_begin_dy,c_inst_floruit_dy,c_inst_first_known_year,c_inst_end_year,c_ey_nianhao_code,c_ey_nianhao_year,c_ey_year_range,c_inst_end_dy,c_inst_last_known_year,c_source,c_pages,c_notes
91,164,1,1346,,,,18,18,,,,,,,,,,"from L.Walton: Wei Su, 4.7b-9a"
91,2980,1,1119,538,1,2,15,,,,,,,,,38278,329,"多个出處:宋代書院與宋代學術之關係P329;元代書院之地理分佈P393."
91,3633,1,1309,626,2,2,18,,,,,,,,,38280,390,"多个出處:元代書院之地理分佈P390;中國古代的書院制度P51;中國書院制度考略P21."
92,165,1,,,,,18,18,,,,,,,,,,"from L.Walton: Liu Boji, Guangdong shuyuanzhidu (1958; 1978), 15; 大明一統志 82.22b"
93,166,1,1347,,,2,18,18,,,,,,,,,,"from L.Walton: Yu Ji, 8.6a-7b"
94,167,1,,,,,18,18,,,,,,,,,,"from L.Walton: SYXA:supp. 84.20b6; SR I.137; Guangxin fuzhi [Tongzhi 12] 42.24b"
94,3784,1,1181,621,8,2,59,,,,,,,,,38278,306,"多个出處:宋代書院與宋代學術之關係P306;江西古代書院研究P108."
95,168,1,1350,,,2,18,18,,,,,,,,,,"from L.Walton: 大明一統志 51.6b"
96,169,1,,,,,18,18,,,,,,,,9599,12820,
97,170,1,1336,,,2,18,18,,,,,,,,,,"from L.Walton: Zhizheng, 8.9b-10a; Cen Anqing 岑安卿, Kaolao shanren shiji 栲栳山人詩集 [SKCS ed.]  xia, 5b-6b, ""Sending Off Du Islet Hea大明一統志aster Liu Gongfu"" 送杜洲山長劉公輔"
98,171,1,,,,,18,18,,,,,,,,9599,15033,"from L.Walton: Zhejiang tongzhi (e-SKQS ed.), 27.33a"
99,172,2,,,,,,18,,,,,,,,9599,14026,"元代釋元湛113082居黃巖州法輪院"
100,173,1,,,,,18,18,,,,,,,,,,"from L.Walton: YR II.1245"
101,174,2,,,,,,18,,,,,,,,9599,14100,"元代釋自恢113155居海鹽之法喜寺"
101,175,2,930,0,0,0,0,20,,,,,,,,27842,216,"Temple ID 138936 Location: 吳江縣東; Founding: 后唐长兴一年; Other: 初名崇福寺，宋大中祥符一年今额"
101,176,2,240,0,0,2,0,20,,,,,,,,27842,217,"Temple ID 139473 Location: 海監縣西南; Founding: 吴孙权吴夫人舍宅; Other: 旧名通元寺，宋祥 符一个今额"
102,177,2,,,,,,18,,,,,,,,9599,14205,"元代釋祖進113255居封崇寺"
102,178,2,556,0,0,0,0,20,,,,,,,,27842,214,"Temple ID 138591 Location: 行唐縣治北; Founding: 北齐，天保七年; Other: 宋祥符初今名"
103,179,2,,,,,,18,,,,,,,,9599,14156,"元代釋宗偉113208居奉恩寺"
104,180,1,1270,,,2,15,,,,,,,,,,,"from L.Walton: Yuan Jue, 18.4b-5a"
105,181,1,,,,,18,18,,,,,,,,9599,6696,"from L.Walton: Xu Zi, 85-86; Tianxia, 8.1a-2b"
105,2896,1,1119,538,1,2,15,,,,,,,,,38284,49,
105,2897,1,1229,551,2,-1,15,,,,,,,,,38280,394,"多个出處:元代書院之地理分佈P394;四川書院史P26."
105,3319,1,1230,551,3,2,15,,,,,,,,,38277,12;35,"多个出處:中國古代書院發展史P12,35;宋代書院與宋代學術之關係P302;江西古代書院研究P112,227."
105,3619,1,1296,624,2,0,18,,,,,,,,,38280,385,
106,182,2,,,,,,18,,,,,,,,9599,14080,"元代釋玄鑑113135居雲南佛嚴寺"
107,183,2,,,,,,18,,,,,,,,9599,14034,"元代釋天倫113089居定海縣佛巖寺"
108,184,1,1334,,,2,18,18,,,,,,,,9599,23,"from L.Walton: Dai Liang, 6.79-80; Liu Guan, 14.30b-34b; 大明一統志 8.9"
