c_inst_name_code,c_inst_name_hz,c_inst_name_py
480,"同泰寺","Tongtai Si"
481,"后黃寺","Houhuang Si"
482,"君山寺","Junshan Si"
483,"含雲寺","Hanyun Si"
484,"听松庵","Tingsong An"
485,"吳封寺","Wufeng Si"
486,"吳山寺","Wushan Si"
487,"咸平寺","Xianping Si"
488,"唐寧寺","Tangning Si"
489,"唐德寺","Tangde Si"
490,"唐興寺","Tangxing Si"
491,"喀木諸廟",Kamuzhumiao
492,"善化寺","Shanhua Si"
493,"善卷寺","Shanjuan Si"
494,"善因寺","Shanyin si"
495,"善惠寺","Shanhui Si"
496,"善業寺","Shanye Si"
497,"善法寺","Shanfa Si"
498,"善現寺","Shanxian Si"
499,"善罪寺","Shanzui Si"
500,"善覺寺","Shanjue Si"
501,"善護寺","Shanhu Si"
502,"嘉祐寺","Jiayou Si"
503,"嘉祐禪寺","Jiayou Chansi"
504,"嘉福寺","Jiafu Si"
505,"嘛哈噶廟","Mahaga Miao"
506,"噶爾丹廟","Ge'erdan Miao"
507,"四祖寺","Sizu Si"
508,"回瀾寺","Huilan Si"
509,"回鑾寺","Huiluan Si"
510,"回龍寺","Huilong Si"
511,"國清寺","Guoqing Si"
512,"圓教寺","Yuanjia Si"
513,"圓明寺","Yuanming Si"
514,"圓果寺","Gangguo Si"
515,"圓照寺","Yuanzhao Si"
516,"圖銘寺","Tuming Si"
517,"圭山寺","Guishan Si"
518,"地藏寺","Dizang Si"
519,"均慶寺","Junqing Si"
520,"城山寺","Chengshan Si"
521,"堤城寺","Dicheng Si"
522,"堯蜂寺","Raofen Si"
523,"報本寺","Baoben Si"
524,"塔山寺","Tashan Si"
525,"塔河院","Tahe Yuan"
526,"增壽寺","Zengshou Si"
527,"壽佛寺","Shoufo Si"
528,"壽安寺","Shou'an Si"
529,"壽寧寺","Shouning Si"
530,"壽峰寺","Shoufeng Si"
531,"壽昌寺","Shouchang Si"
532,"壽星院","Shouxing Yuan"
533,"壽福寺","Shoufu Si"
534,"壽聖廣福寺","Shoushengguangfu Si"
535,"壽量寺","Shouliang Si"
536,"壽隆寺","Shoulong Si"
537,"壽龍寺","Shoulong Si"
538,"复覽寺","Fulan Si"
539,"多吉寺","Duoji Si"
540,"多寶寺","Duobao Si"
541,"多慶寺","Duoqing Si"
542,"多福寺","Duofu Si"
543,"大中祥符寺","Dazhongxiangfu Si"
544,"大中禹跡寺","Dazhongyuji Si"
545,"大丰寺","Dafeng Si"
546,"大乘寺","Dacheng Si"
547,"大乙寺","Dayi Si"
548,"大佛寺","Dafo Si"
549,"大像寺","Daxiang Si"
550,"大光明殿","Daguangming Dian"
551,"大力寺","Dali Si"
552,"大十方院","Dashifang Yuan"
553,"大吉寺","Daji Si"
554,"大同寺","Datong Si"
555,"大善寺","Dashan Si"
556,"大嚴寺","Dayan Si"
557,"大報思延壽寺","Dabao Si  Yanshou Si"
558,"大報恩寺","Dabao'en Si"
559,"大威寺","Dawei Si"
560,"大安寺","Da'an Si"
561,"大定寺","Dading Si"
562,"大寧寺","Daning Si"
563,"大岳慶福寺","Dayueqingfu Si"
564,"大平寺","Daping Si"
565,"大廣濟寺","Daguangji Si"
566,"大延壽日露寺","Dayanshourilu Si"
567,"大德護國寺","Dadehuguo Si"
568,"大忠寺","Dazhong Si"
569,"大悲寺","Dabei Si"
