c_inst_name_code,c_inst_code,c_inst_code_new,c_new_new_code
663,139389,1,1211
664,140106,1,1212
665,140280,1,1213
666,138571,1,1214
666,139432,2,1215
667,139544,1,1216
667,139867,2,1217
668,138572,1,1218
669,139529,1,1219
670,139705,1,1220
671,138573,1,1221
672,138574,1,1222
673,138575,1,1223
673,138576,2,1224
674,138518,1,1225
675,138519,1,1226
675,138520,2,1227
675,140060,3,1228
675,140224,4,1229
676,138521,1,1230
677,140548,1,1231
678,139697,1,1232
679,138543,1,1233
679,138544,2,1234
679,140227,3,1235
680,138539,1,1236
680,138540,2,1237
680,139523,3,1238
680,140154,4,1239
681,138546,1,1240
682,139385,1,1241
683,138547,1,1242
684,140281,1,1243
685,138549,1,1244
685,138550,2,1245
685,138551,3,1246
685,138552,4,1247
685,139584,5,1248
686,138553,1,1249
686,138554,2,1250
686,140199,3,1251
687,138555,1,1252
687,139638,2,1253
688,138556,1,1254
689,138559,1,1255
690,139696,1,1256
691,138560,1,1257
691,138561,2,1258
691,138562,3,1259
691,138563,4,1260
691,138564,5,1261
691,139524,6,1262
691,140447,7,1263
692,138565,1,1264
692,139592,2,1265
692,139639,3,1266
692,139680,4,1267
692,140213,5,1268
693,138566,1,1269
694,138567,1,1270
694,138568,2,1271
695,140100,1,1272
696,138545,1,1273
696,139499,2,1274
696,139686,3,1275
696,139815,4,1276
696,140068,5,1277
697,139405,1,1278
698,138569,1,1279
699,140530,1,1280
700,138570,1,1281
701,139721,1,1282
702,138541,1,1283
702,138542,2,1284
702,139583,3,1285
703,139997,1,1286
704,138592,1,1287
705,138593,1,1288
706,139651,1,1289
706,140352,2,1290
707,139850,1,1291
708,138594,1,1292
709,140142,1,1293
710,138596,1,1294
711,138597,1,1295
712,138598,1,1296
713,138599,1,1297
714,138600,1,1298
715,139845,1,1299
716,138601,1,1300
717,139490,1,1301
718,140219,1,1302
719,139677,1,1303
720,138605,1,1304
720,138606,2,1305
721,138607,1,1306
721,139990,2,1307
722,138608,1,1308
723,138614,1,1309
