c_office_id,c_office_type_id,c_office_tree_id,c_office_type_type_code,c_office_l1,c_office_l2,c_office_l3,c_office_l4,c_office_l5
62077,0,18,18,0,0,0,0,0
62077,,1803040649,18,,,,,
62078,0,18,18,0,0,0,0,0
62078,,1803040649,18,,,,,
62079,0,18,18,0,0,0,0,0
62079,,1899,18,,,,,
62080,0,18,18,0,0,0,0,0
62080,,1899,18,,,,,
62081,0,18,18,0,0,0,0,0
62081,,1899,18,,,,,
62082,0,18,18,0,0,0,0,0
62082,,1899,18,,,,,
62083,0,18,18,0,0,0,0,0
62083,,1899,18,,,,,
62084,0,18,18,0,0,0,0,0
62084,,1899,18,,,,,
62085,0,18,18,0,0,0,0,0
62085,,1899,18,,,,,
62086,0,18,18,0,0,0,0,0
62086,,180103021302,18,,,,,
62087,0,18,18,0,0,0,0,0
62087,,180103021302,18,,,,,
62088,0,18,18,0,0,0,0,0
62088,,180103021302,18,,,,,
62089,0,18,18,0,0,0,0,0
62089,,180103021302,18,,,,,
62090,0,18,18,0,0,0,0,0
62090,,180103021302,18,,,,,
62091,0,18,18,0,0,0,0,0
62091,,180103021302,18,,,,,
62092,0,18,18,0,0,0,0,0
62092,,180103021302,18,,,,,
62093,0,18,18,0,0,0,0,0
62093,,180103021302,18,,,,,
62094,0,18,18,0,0,0,0,0
62094,,1899,18,,,,,
62095,0,18,18,0,0,0,0,0
62095,,1899,18,,,,,
62096,0,18,18,0,0,0,0,0
62096,,1899,18,,,,,
62097,0,18,18,0,0,0,0,0
62097,,1899,18,,,,,
62098,0,18,18,0,0,0,0,0
62098,,1899,18,,,,,
62099,0,18,18,0,0,0,0,0
62099,,1899,18,,,,,
62100,0,18,18,0,0,0,0,0
62100,,1803250402,18,,,,,
62101,0,18,18,0,0,0,0,0
62101,,1803250402,18,,,,,
62102,0,18,18,0,0,0,0,0
62102,,1803250402,18,,,,,
62103,0,18,18,0,0,0,0,0
62103,,180103021302,18,,,,,
62104,0,18,18,0,0,0,0,0
62104,,180103021302,18,,,,,
62105,0,18,18,0,0,0,0,0
62105,,180103021302,18,,,,,
62106,0,18,18,0,0,0,0,0
62106,,180103021302,18,,,,,
62107,0,18,18,0,0,0,0,0
62107,,180103021302,18,,,,,
62108,0,18,18,0,0,0,0,0
62108,,1801010111,18,,,,,
62109,0,18,18,0,0,0,0,0
62109,,1801010111,18,,,,,
62110,0,18,18,0,0,0,0,0
62110,,1801010111,18,,,,,
62111,0,18,18,0,0,0,0,0
62111,,1801010111,18,,,,,
62112,0,18,18,0,0,0,0,0
62112,,1801010111,18,,,,,
62113,0,18,18,0,0,0,0,0
62113,,1801010111,18,,,,,
62114,0,18,18,0,0,0,0,0
62114,,1801010111,18,,,,,
62115,0,18,18,0,0,0,0,0
62115,,1801010111,18,,,,,
62116,0,18,18,0,0,0,0,0
62116,,1801010111,18,,,,,
62117,0,18,18,0,0,0,0,0
62117,,1801010111,18,,,,,
62118,0,18,18,0,0,0,0,0
62118,,1801010111,18,,,,,
62119,0,18,18,0,0,0,0,0
62119,,1801010111,18,,,,,
62120,0,18,18,0,0,0,0,0
62120,,1801010111,18,,,,,
62121,0,18,18,0,0,0,0,0
62121,,180103021302,18,,,,,
62122,0,18,18,0,0,0,0,0
62122,,180103021302,18,,,,,
62123,0,18,18,0,0,0,0,0
62123,,180103021302,18,,,,,
62124,0,18,18,0,0,0,0,0
62124,,180103021302,18,,,,,
62125,0,18,18,0,0,0,0,0
62125,,180103021302,18,,,,,
62126,0,18,18,0,0,0,0,0
62126,,180103021302,18,,,,,
62127,0,18,18,0,0,0,0,0
62127,,180103021302,18,,,,,
62128,0,18,18,0,0,0,0,0
62128,,180103021302,18,,,,,
62129,0,18,18,0,0,0,0,0
62129,,1899,18,,,,,
62130,0,18,18,0,0,0,0,0
62130,,1899,18,,,,,
62131,0,18,18,0,0,0,0,0
62131,,1899,18,,,,,
62132,0,18,18,0,0,0,0,0
62132,,1899,18,,,,,
62133,0,18,18,0,0,0,0,0
62133,,1899,18,,,,,
62134,0,18,18,0,0,0,0,0
62134,,1899,18,,,,,
62135,0,18,18,0,0,0,0,0
62135,,1899,18,,,,,
62136,0,18,18,0,0,0,0,0
62136,,1899,18,,,,,
62137,0,18,18,0,0,0,0,0
62137,,1899,18,,,,,
62138,0,18,18,0,0,0,0,0
62138,,1899,18,,,,,
62139,0,18,18,0,0,0,0,0
62139,,1899,18,,,,,
62140,0,18,18,0,0,0,0,0
62140,,1899,18,,,,,
62141,0,18,18,0,0,0,0,0
62141,,1899,18,,,,,
62142,0,18,18,0,0,0,0,0
62142,,1899,18,,,,,
62143,0,18,18,0,0,0,0,0
62143,,1899,18,,,,,
62144,0,18,18,0,0,0,0,0
62144,,1899,18,,,,,
62145,0,18,18,0,0,0,0,0
62145,,1899,18,,,,,
62146,0,18,18,0,0,0,0,0
62146,,1899,18,,,,,
62147,0,18,18,0,0,0,0,0
62147,,1899,18,,,,,
62148,0,18,18,0,0,0,0,0
62148,,1899,18,,,,,
62149,0,18,18,0,0,0,0,0
62149,,1899,18,,,,,
62150,0,18,18,0,0,0,0,0
62150,,1899,18,,,,,
62151,0,18,18,0,0,0,0,0
62151,,1899,18,,,,,
62152,0,18,18,0,0,0,0,0
62152,,1899,18,,,,,
62153,0,18,18,0,0,0,0,0
62153,,1899,18,,,,,
62154,0,18,18,0,0,0,0,0
62154,,1801020407,18,,,,,
62155,0,18,18,0,0,0,0,0
62155,,1801020407,18,,,,,
62156,0,18,18,0,0,0,0,0
62156,,1801020407,18,,,,,
62157,0,18,18,0,0,0,0,0
62157,,18070602,18,,,,,
62158,0,18,18,0,0,0,0,0
62158,,180103021404,18,,,,,
62159,0,18,18,0,0,0,0,0
62159,,180103021404,18,,,,,
62160,0,18,18,0,0,0,0,0
62160,,180103021404,18,,,,,
62161,0,18,18,0,0,0,0,0
62161,,180103021404,18,,,,,
62162,0,18,18,0,0,0,0,0
62162,,1803250106,18,,,,,
62163,0,18,18,0,0,0,0,0
62163,,1803250106,18,,,,,
62164,0,18,18,0,0,0,0,0
62164,,1803250104,18,,,,,
62165,0,18,18,0,0,0,0,0
62165,,1803250104,18,,,,,
62166,0,18,18,0,0,0,0,0
62166,,1803250104,18,,,,,
62167,0,18,18,0,0,0,0,0
62167,,1803250104,18,,,,,
62168,0,18,18,0,0,0,0,0
62168,,1803250104,18,,,,,
62169,0,18,18,0,0,0,0,0
62169,,180304060311,18,,,,,
62170,0,18,18,0,0,0,0,0
62170,,180304060311,18,,,,,
62171,0,18,18,0,0,0,0,0
62171,,180304060311,18,,,,,
62172,0,18,18,0,0,0,0,0
62172,,180304060311,18,,,,,
62173,0,18,18,0,0,0,0,0
62173,,1899,18,,,,,
62174,0,18,18,0,0,0,0,0
62174,,1899,18,,,,,
62175,0,18,18,0,0,0,0,0
62175,,1899,18,,,,,
62176,0,18,18,0,0,0,0,0
62176,,1899,18,,,,,
62177,0,18,18,0,0,0,0,0
62177,,1899,18,,,,,
62178,0,18,18,0,0,0,0,0
62178,,1899,18,,,,,
62179,0,18,18,0,0,0,0,0
62179,,1899,18,,,,,
62180,0,18,18,0,0,0,0,0
62180,,1803080301,18,,,,,
62181,0,18,18,0,0,0,0,0
62181,,1803080301,18,,,,,
62182,0,18,18,0,0,0,0,0
62182,,1803080301,18,,,,,
62183,0,18,18,0,0,0,0,0
62183,,1803080301,18,,,,,
62184,0,18,18,0,0,0,0,0
62184,,180304021804,18,,,,,
62186,0,18,18,0,0,0,0,0
62186,,1899,18,,,,,
62187,0,18,18,0,0,0,0,0
62187,,1899,18,,,,,
62188,0,18,18,0,0,0,0,0
62188,,1899,18,,,,,
62189,0,18,18,0,0,0,0,0
62189,,1899,18,,,,,
62190,0,18,18,0,0,0,0,0
62190,,1899,18,,,,,
62191,0,18,18,0,0,0,0,0
62191,,1803250405,18,,,,,
62192,0,18,18,0,0,0,0,0
62192,,1803250405,18,,,,,
62193,0,18,18,0,0,0,0,0
62193,,1803250405,18,,,,,
62194,0,18,18,0,0,0,0,0
62194,,1803250405,18,,,,,
62195,0,18,18,0,0,0,0,0
