AccessTblNm,AccessFldNm,ForeignKey,ForeignKeyBaseField,FKString,FKName,skip,IndexOnField,DataFormat,NULL_allowed
entry_data,c_nianhao_id,nian_hao,c_nianhao_id,c_nianhao_id,ENTRY_DATA_nian_hao,0,,Integer,1
ENTRY_DATA,c_parental_status,PARENTAL_STATUS_CODES,c_parental_status_code,c_parental_status_code,ENTRY_DATA_PARENTAL_STATUS_CODE,0,,Integer,1
entry_data,c_personid,BIOG_MAIN,c_personid,c_personid,ENTRY_DATA_PERSON_ID,1,"Primary Key",Long,0
entry_data,c_source,TEXT_CODES,c_textid,c_textid,ENTRY_DATA_SOURCE_TEXT_CODE,0,,Long,1
EVENT_CODES,c_addr_id,ADDR_CODES,c_addr_id,c_addr_id,EVENT_CODES_ADDR_ID,0,,Long,1
event_codes,c_dy,dynasties,c_dy,c_dy,EVENT_CODES_dynasty,0,,Integer,0
event_codes,c_fy_nh_code,nian_hao,c_nianhao_id,c_nianhao_id,EVENT_CODES_nian_hao_fy,0,,Integer,1
event_codes,c_fy_range,year_range_codes,c_range_code,c_range_code,EVENT_CODES_year_range_code_fy,0,,Integer,1
event_codes,c_ly_nh_code,nian_hao,c_nianhao_id,c_nianhao_id,EVENT_CODES_nian_hao_ly,0,,Integer,1
event_codes,c_ly_range,year_range_codes,c_range_code,c_range_code,EVENT_CODES_year_range_code_ly,0,,Integer,1
event_codes,c_source,TEXT_CODES,c_textid,c_textid,EVENT_CODES_SOURCE_TEXT_CODE,0,,Long,1
events_addr,c_addr_id,ADDR_CODES,c_addr_id,c_addr_id,EVENTS_ADDR_ADDR_ID,0,"Primary Key",Long,0
EVENTS_ADDR,c_day_ganzhi,GANZHI_CODES,c_ganzhi_code,c_ganzhi_code,EVENTS_ADDR_GANZHI_DAY,0,,Integer,1
events_addr,c_event_record_id,EVENT_CODES,c_event_code,c_event_code,EVENTS_ADDR_EVENT_ID,0,"Primary Key",Long,0
EVENTS_ADDR,c_nh_code,NIAN_HAO,c_nianhao_id,c_nianhao_id,EVENTS_ADDR_NIAN_HAO,0,,Integer,1
events_addr,c_personid,BIOG_MAIN,c_personid,c_personid,EVENTS_ADDR_PERSON_ID,0,"Primary Key",Long,0
EVENTS_ADDR,c_yr_range,YEAR_RANGE_CODES,c_range_code,c_range_code,EVENTS_ADDR_YEAR_RANGE_CODE,0,,Integer,1
events_data,c_addr_id,ADDR_CODES,c_addr_id,c_addr_id,EVENTS_DATA_ADDR_ID,0,,Long,1
events_data,c_day_ganzhi,GANZHI_CODES,c_ganzhi_code,c_ganzhi_code,EVENTS_DATA_GANZHI_DAY,0,,Integer,1
events_data,c_event_code,EVENT_CODES,c_event_code,c_event_code,EVENTS_DATA_EVENT_CODE,0,,Integer,0
events_data,c_event_record_id,EVENT_CODES,c_event_code,c_event_code,EVENTS_DATA_EVENT_ID,0,"Primary Key",Long,0
events_data,c_nh_code,nian_hao,c_nianhao_id,c_nianhao_id,EVENTS_DATA_nian_hao,0,,Integer,1
events_data,c_personid,BIOG_MAIN,c_personid,c_personid,EVENTS_DATA_PERSON_ID,0,,Long,0
events_data,c_source,TEXT_CODES,c_textid,c_textid,EVENTS_DATA_SOURCE_TEXT_CODE,0,,Long,1
events_data,c_yr_range,year_range_codes,c_range_code,c_range_code,EVENTS_DATA_year_range_code,0,,Integer,1
kin_data,c_kin_code,KINSHIP_CODES,c_kincode,c_kincode,KIN_DATA_KIN_CODES,1,,Integer,0
kin_data,c_kin_id,BIOG_MAIN,c_personid,c_personid,KIN_DATA_KIN_ID,1,,Long,0
kin_data,c_personid,BIOG_MAIN,c_personid,c_personid,KIN_DATA_PERSON_ID,1,,Long,0
kin_data,c_source,TEXT_CODES,c_textid,c_textid,KIN_DATA_SOURCE_TEXT_CODES,1,,Long,1
kinship_codes,c_kin_pair1,KINSHIP_CODES,c_kincode,c_kincode,KINSHIP_CODES_KIN_PAIR1,1,,Long,0
kinship_codes,c_kin_pair2,KINSHIP_CODES,c_kincode,c_kincode,KINSHIP_CODES_KIN_PAIR2,1,,Long,0
nian_hao,c_dy,dynasties,c_dy,c_dy,dynasty,0,,Integer,0
OFFICE_CODE_TYPE_REL,c_office_id,OFFICE_CODES,c_office_id,c_office_id,OFFICE_CODE_TYPE_REL_OFFICE_ID,1,"Primary Key",Integer,0
OFFICE_CODE_TYPE_REL,c_office_tree_id,OFFICE_TYPE_TREE,c_office_type_node_id,c_office_type_node_id,OFFICE_CODE_TYPE_REL_OFFICE_TYPE_TREE,1,"Primary Key",Text,0
office_codes,c_dy,dynasties,c_dy,c_dy,OFFICE_CODES_dynasty,0,,Integer,0
office_codes,c_source,TEXT_CODES,c_textid,c_textid,OFFICE_CODES_SOURCE_TEXT_CODES,0,,Long,0
OFFICE_TYPE_TREE,c_parent_id,OFFICE_TYPE_TREE,c_office_type_node_id,c_office_type_node_id,OFFICE_TYPE_TREE_PARENT,0,,Text,0
possession_addr,c_addr_id,ADDR_CODES,c_addr_id,c_addr_id,POSSESSION_ADDR_ADDR_ID,0,"Primary Key",Long,0
possession_addr,c_personid,BIOG_MAIN,c_personid,c_personid,POSSESSION_ADDR_PERSON_ID,0,"Primary Key",Long,0
possession_addr,c_possession_record_id,possession_data,c_possession_record_id,c_possession_record_id,POSSESSION_ADDR_possession_id,0,"Primary Key",Long,0
possession_data,c_addr_id,ADDR_CODES,c_addr_id,c_addr_id,POSSESSION_DATA_ADDR_ID,0,,Long,0
possession_data,c_measure_code,MEASURE_CODES,c_measure_code,c_measure_code,POSSESSION_DATA_MEASURE_CODE,0,,Integer,1
possession_data,c_personid,BIOG_MAIN,c_personid,c_personid,POSSESSION_DATA_PERSON_ID,0,,Long,0
possession_data,c_possession_act_code,possession_act_codes,c_possession_act_code,c_possession_act_code,POSSESSION_DATA_possession_act_code,0,,Integer,0
possession_data,c_possession_nh_code,nian_hao,c_nianhao_id,c_nianhao_id,POSSESSION_DATA_nian_hao,0,,Integer,1
possession_data,c_possession_yr_range,year_range_codes,c_range_code,c_range_code,POSSESSION_DATA_year_range_code,0,,Integer,1
possession_data,c_source,TEXT_CODES,c_textid,c_textid,POSSESSION_DATA_SOURCE_TEXT_CODE,0,,Long,1
POSTED_TO_ADDR_DATA,c_addr_id,ADDR_CODES,c_addr_id,c_addr_id,POSTED_TO_ADDR_DATA_ADDR_ID,1,"Primary Key",Long,0
POSTED_TO_ADDR_DATA,c_office_id,OFFICE_CODES,c_office_id,c_office_id,POSTED_TO_ADDR_DATA_OFFICE_ID,1,"Primary Key",Long,0
POSTED_TO_ADDR_DATA,c_personid,BIOG_MAIN,c_personid,c_personid,POSTED_TO_ADDR_DATA_PERSON_ID,1,,,0
POSTED_TO_ADDR_DATA,c_posting_id,POSTING_DATA,c_posting_id,c_posting_id,POSTED_TO_ADDR_DATA_POSTING_ID,0,"Primary Key",Long,0
POSTED_TO_OFFICE_DATA,c_appt_type_code,appointment_type_codes,c_appt_type_code,c_appt_type_code,POSTED_TO_OFFICE_DATA_appointment_type_code,0,,Integer,1
POSTED_TO_OFFICE_DATA,c_assume_office_code,assume_office_codes,c_assume_office_code,c_assume_office_code,POSTED_TO_OFFICE_DATA_assume_office_code,0,,Integer,1
POSTED_TO_OFFICE_DATA,c_dy,dynasties,c_dy,c_dy,POSTED_TO_OFFICE_DATA_dynasty,0,,Integer,1
POSTED_TO_OFFICE_DATA,c_fy_day_gz,GANZHI_CODES,c_ganzhi_code,c_ganzhi_code,POSTED_TO_OFFICE_DATA_GANZHI_FY_DAY,0,,Integer,1
POSTED_TO_OFFICE_DATA,c_fy_nh_code,nian_hao,c_nianhao_id,c_nianhao_id,POSTED_TO_OFFICE_DATA_nian_hao_fy,0,,Integer,1
POSTED_TO_OFFICE_DATA,c_fy_range,year_range_codes,c_range_code,c_range_code,POSTED_TO_OFFICE_DATA_year_range_fy,0,,Integer,1
POSTED_TO_OFFICE_DATA,c_inst_name_code,SOCIAL_INSTITUTION_NAME_CODES,c_inst_name_code,c_inst_name_code,POSTED_TO_OFFICE_DATA_SOCIAL_INSTITUTION_NAME_CODE,0,,Integer,1
POSTED_TO_OFFICE_DATA,"c_inst_name_code,c_inst_code",SOCIAL_INSTITUTION_CODES,c_inst_code,"c_inst_name_code,c_inst_code",POSTED_TO_OFFICE_DATA_SOCIAL_INSTITUTION_CODE,0,,Long,1
POSTED_TO_OFFICE_DATA,c_ly_day_gz,GANZHI_CODES,c_ganzhi_code,c_ganzhi_code,POSTED_TO_OFFICE_DATA_GANZHI_LY_DAY,0,,Integer,1
POSTED_TO_OFFICE_DATA,c_ly_nh_code,nian_hao,c_nianhao_id,c_nianhao_id,POSTED_TO_OFFICE_DATA_nian_hao_ly,0,,Integer,1
POSTED_TO_OFFICE_DATA,c_ly_range,year_range_codes,c_range_code,c_range_code,POSTED_TO_OFFICE_DATA_year_range_ly,1,,Integer,1
POSTED_TO_OFFICE_DATA,c_office_category_id,OFFICE_CATEGORIES,c_office_category_id,c_office_category_id,POSTED_TO_OFFICE_DATA_OFFICE_CATEGORY,0,,Integer,1
POSTED_TO_OFFICE_DATA,c_office_id,OFFICE_CODES,c_office_id,c_office_id,POSTED_TO_OFFICE_DATA_OFFICE_ID,1,"Primary Key",Long,0
POSTED_TO_OFFICE_DATA,c_personid,BIOG_MAIN,c_personid,c_personid,POSTED_TO_OFFICE_DATA_PERSON_ID,1,,Long,0
POSTED_TO_OFFICE_DATA,c_posting_id,POSTING_DATA,c_posting_id,c_posting_id,POSTED_TO_OFFICE_DATA_POSTING_ID,0,"Primary Key",Long,0
POSTED_TO_OFFICE_DATA,c_source,TEXT_CODES,c_textid,c_textid,POSTED_TO_OFFICE_DATA_SOURCE_TEXT_CODE,1,,Long,1
POSTING_DATA,c_personid,BIOG_MAIN,c_personid,c_personid,POSTING_DATA_PERSON_ID,1,,Long,0
SOCIAL_INSTITUTION_ADDR,c_inst_addr_id,ADDR_CODES,c_addr_id,c_addr_id,SOCIAL_INSTITUTION_ADDR_ADDR_ID,1,"Primary Key",Long,0
SOCIAL_INSTITUTION_ADDR,c_inst_addr_type_code,SOCIAL_INSTITUTION_ADDR_TYPES,c_inst_addr_type_code,c_inst_addr_type_code,SOCIAL_INSTITUTION_ADDR_TYPE,0,"Primary Key",Integer,0
SOCIAL_INSTITUTION_ADDR,"c_inst_name_code,c_inst_code",SOCIAL_INSTITUTION_CODES,c_inst_code,"c_inst_name_code,c_inst_code",SOCIAL_INSTITUTION_ADDR_SOCIAL_INSTITUTION_CODE,0,"Primary Key",Long,0
SOCIAL_INSTITUTION_ADDR,c_source,TEXT_CODES,c_textid,c_textid,SOCIAL_INSTITUTION_ADDR_TEXT_CODES,0,,Long,0
SOCIAL_INSTITUTION_CODES,c_by_nianhao_code,NIAN_HAO,c_nianhao_id,c_nianhao_id,SOCIAL_INSTITUTION_CODES_NIAN_HAO_BY,0,,Integer,0
SOCIAL_INSTITUTION_CODES,c_by_year_range,YEAR_RANGE_CODES,c_range_code,c_range_code,SOCIAL_INSTITUTION_CODES_YEAR_RANGE_CODE_BY,0,,Integer,0
SOCIAL_INSTITUTION_CODES,c_ey_nianhao_code,NIAN_HAO,c_nianhao_id,c_nianhao_id,SOCIAL_INSTITUTION_CODES_NIAN_HAO_EY,0,,Integer,1
SOCIAL_INSTITUTION_CODES,c_ey_year_range,YEAR_RANGE_CODES,c_range_code,c_range_code,SOCIAL_INSTITUTION_CODES_YEAR_RANGE_CODE_EY,0,,Integer,0
SOCIAL_INSTITUTION_CODES,c_inst_begin_dy,DYNASTIES,c_dy,c_dy,SOCIAL_INSTITUTION_CODES_DYNASTY_BEGIN,0,,Integer,0
SOCIAL_INSTITUTION_CODES,c_inst_floruit_dy,DYNASTIES,c_dy,c_dy,SOCIAL_INSTITUTION_CODES_DYNASTY_END,0,,Integer,0
SOCIAL_INSTITUTION_CODES,c_inst_name_code,SOCIAL_INSTITUTION_NAME_CODES,c_inst_name_code,c_inst_name_code,SOCIAL_INSTITUTION_CODES_SOCIAL_INSTITUTION_NAME_CODE,0,"Primary Key",Long,0
SOCIAL_INSTITUTION_CODES,c_inst_type_code,SOCIAL_INSTITUTION_TYPES,c_inst_type_code,c_inst_type_code,SOCIAL_INSTITUTION_CODES_SOCIAL_INSTITUTION_TYPE_CODE,0,,Integer,0
SOCIAL_INSTITUTION_CODES,c_source,TEXT_CODES,c_textid,c_textid,SOCIAL_INSTITUTION_CODES_SOURCE_TEXT_ID,0,,Long,0
STATUS_CODE_TYPE_REL,c_status_code,STATUS_CODES,c_status_code,c_status_code,STATUS_CODE_TYPE_REL_STATUS_CODE,0,"Primary Key",Integer,0
STATUS_CODE_TYPE_REL,c_status_type_code,STATUS_TYPES,c_status_type_code,c_status_type_code,STATUS_CODE_TYPE_REL_STATUS_TYPE,0,"Primary Key",Text,0
status_data,c_fy_nh_code,nian_hao,c_nianhao_id,c_nianhao_id,STATUS_DATA_nian_hao_fy,0,,Integer,1
status_data,c_fy_range,year_range_codes,c_range_code,c_range_code,STATUS_DATA_year_range_code_fy,0,,Integer,1
status_data,c_ly_nh_code,nian_hao,c_nianhao_id,c_nianhao_id,STATUS_DATA_nian_hao_ly,0,,Integer,1
status_data,c_ly_range,year_range_codes,c_range_code,c_range_code,STATUS_DATA_year_range_code_ly,0,,Integer,1
status_data,c_personid,BIOG_MAIN,c_personid,c_personid,STATUS_DATA_PERSON_ID,1,"Primary Key",Long,0
