c_textid,c_personid,c_name,c_lastname,c_firstname,c_name_chn,c_addr_id,c_genre_code,c_female,c_floruit,c_birthyear,c_deathyear,c_death_age
6251,0,"Ju Ru`an",Ju,"Ru`an,","苟汝安",5114,3,N,1536,0,0,0
6254,0,"Shou Lian",Shou,"Lian,","壽濂",5055,3,N,1566,0,0,0
6263,0,"Hao Chi",Hao,"Chi,","郝持",5082,3,N,1619,0,0,0
6275,0,"Guo Congdao",Guo,"Congdao,","郭從道",5278,3,N,1619,0,0,0
6283,0,"Nan Daji",Nan,"Daji,","南大吉",5208,3,N,1541,0,0,0
6290,0,"Kou Shen",Kou,"Shen,","寇慎",5214,3,N,1618,0,0,0
6305,0,"Tang Boyuan",Tang,"Boyuan,","唐伯元",5480,3,N,1578,0,0,0
6309,0,"Pu Bingquan",Pu,"Bingquan,","蒲秉權",5457,3,N,1618,0,0,0
6316,0,"Lin Aimin",Lin,"Aimin,","林愛民",5548,3,N,1554,0,0,0
6341,0,"Mo Dan",Mo,"Dan,","莫旦",5404,3,N,1487,0,0,0
6353,0,"Hou Gun",Hou,"Gun,","侯袞",6037,3,N,1619,0,0,0
6362,0,"Che Mingshi",Che,"Mingshi,","車鳴時",6006,3,N,1609,0,0,0
6612,0,"Yin Anzhong",Yin,"Anzhong,","尹安中",14120,3,N,1200,0,0,0
6673,0,"Qianlong Emperor",Qianlong,"Di,","乾隆帝",0,0,N,1765,0,0,0
6678,0,"Shang Weijun",Shang,"Weijun,","商維濬",5398,0,N,1643,0,0,0
6679,0,"Zuo Gui",Zuo,"Gui,","左圭",0,0,N,1279,0,0,0
6843,0,"Li Fu","Li Fu,",,"李紱",7896,1,N,1732,0,0,0
6873,0,"Dong Fengtan",Dong,"Fengtan,","董豐坦",7612,1,N,1796,0,0,0
6894,0,"Peng Shaosheng",Peng,Shaosheng,"彭紹升",7540,1,N,1796,0,0,0
6922,0,"Wang Basun",Wang,"Basun,","王芭孫",7524,1,N,1815,0,0,0
6927,0,"Gui Fu",Gui,"Fu,","桂馥",7999,1,N,1792,0,0,0
6935,0,"Zhu Bin",Zhu,"Bin,","朱彬",7578,1,N,1812,0,0,0
6973,0,"Chen Kui",CHen,"Kui,","陳揆",7546,1,N,1825,0,0,0
6990,0,"Jin E",Jin,"E,","金鶚",7755,1,N,1819,0,0,0
6994,0,"Feng Dengfu",Feng,"Dengfu,","馮登府",7620,1,N,1838,0,0,0
7001,0,"Sheng Dashi",Sheng,"Dashi,","盛大士",7612,1,N,1831,0,0,0
7017,0,"Pan Deyu",Pan,"Deyu,","潘德輿",7580,1,N,1839,0,0,0
7040,0,"Long Qirui",Long,"Qirui,","龍啟瑞",8610,1,N,1858,0,0,0
7047,0,"Zou Boqi",Zou,"Boqi,","鄒伯奇",8386,1,N,1869,0,0,0
7078,0,"Qiang Ruxun",Qiang,"Ruxun,","強汝詢",7554,1,N,1883,0,0,0
7097,0,"Hua Hengfang",Hua,"Hengfang,","華蘅芳",7535,1,N,1892,0,0,0
7105,0,"Kuai Guangdian",Kuai,"Guangdian,","蒯光典",7695,1,N,1910,0,0,0
7110,0,"Pi Xirui",Pi,"Xirui,","皮錫瑞",8294,1,N,1908,0,0,0
7510,0,"Yuwen Maozhao",Yuwen,"Maozhao,","宇文懋昭",0,0,N,1234,0,0,0
