tts_sysno,c_textid,c_personid,c_role_id,c_year,c_nh_code,c_nh_year,c_range_code,c_source,c_pages,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date
341,2326,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
342,2327,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
343,2328,10216,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
344,2329,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
345,2330,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
346,2331,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
347,2332,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
348,2333,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
349,2334,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
350,2335,28334,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
351,2336,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
352,2337,183,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
353,2338,29548,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
354,2339,198,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
355,2340,28845,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
356,2341,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
357,2342,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
358,2343,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
359,2344,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
360,2345,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
361,2346,3130,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
362,2347,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
363,2348,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
